Country or region,Actual score,Predicted score,Relative error
Rwanda,3.334,5.051393118271693,51.5114912499008
Rwanda,3.408,5.158049268951272,51.35121094340588
Saudi Arabia,6.375,6.0043132194797355,5.814694596396306
Saudi Arabia,6.371,5.866506512004091,7.918591869344051
Senegal,4.681,4.86086445554669,3.8424365636977225
Senegal,4.631,4.814076018556383,3.953271832355493
Serbia,5.603,5.66188207246211,1.050902596146897
Serbia,5.398,5.461445416223016,1.1753504302152038
Sierra Leone,4.374,4.093829905360366,6.405351957924873
Sierra Leone,4.571,3.8502631260757805,15.767597329341923
Singapore,6.262,7.150606140254481,14.190452575127456
Singapore,6.343,7.0576395945836445,11.266586703194776
Slovakia,6.198,5.969776004055616,3.6822200055563825
Slovakia,6.173,5.902773236802372,4.377559747248143
Slovenia,6.118,6.385501997019807,4.3723765449461665
Slovenia,5.948,6.318318587841691,6.225934563579203
Somalia,4.668,4.3561811158015145,6.679924682915289
Somalia,4.982,4.348007548413455,12.725661412817043
South Africa,4.722,5.325149869684833,12.773186566811365
South Africa,4.724,5.370173754162032,13.678529935690761
South Korea,5.895,5.6879531473824185,3.5122451673889916
South Korea,5.875,5.654714630779723,3.7495381994940775
South Sudan,2.853,3.548348362441211,24.372532858086604
South Sudan,3.254,3.614177416287463,11.068758951673722
Spain,6.354,6.2742268679806585,1.2554789427028887
Spain,6.31,6.30650377319851,0.05540771476211973
Sri Lanka,4.366,5.72357283023887,31.094201333918253
Sri Lanka,4.471,5.7532596934501345,28.679483190564405
Sudan,4.139,4.486293057500798,8.390747946383124
Swaziland,4.212,4.498315948234855,6.797624601967122
Sweden,7.343,6.881757719636945,6.281387448768282
Sweden,7.314,6.8935422534469035,5.7486703110896435
Switzerland,7.48,6.966280576430799,6.86790673220857
Switzerland,7.487,6.956609828988084,7.084148136929562
Syria,3.462,3.712210727690863,7.227346264900714
Syria,3.462,3.9568113775382603,14.292645220631428
Taiwan,6.446,6.129435967377256,4.911015088779773
Taiwan,6.441,6.091629220043831,5.424169848721759
Tajikistan,5.467,5.211441900388809,4.67455825153084
Tajikistan,5.199,4.908617470233107,5.5853535250412145
Tanzania,3.231,4.760659464797709,47.34322082320363
Tanzania,3.303,4.765253528739546,44.2704671129139
Thailand,6.008,6.059035953943826,0.8494666102500978
Thailand,6.072,6.015106617343085,0.9369792927686872
Togo,4.085,3.94691683088628,3.3802489379123593
Togo,3.999,3.8178326212377476,4.530317048318393
Trinidad & Tobago,6.192,5.946944996482862,3.957606645948617
Trinidad & Tobago,6.192,5.895109367394129,4.79474535862195
Tunisia,4.461,4.976691227857638,11.559991657871285
Tunisia,4.592,4.834640815727344,5.283989889532755
Turkey,5.373,5.626850652718604,4.724560817394444
Turkey,5.483,5.658881191719494,3.207754727694584
Turkmenistan,5.247,5.813617942229447,10.798893505421143
Turkmenistan,5.636,5.660514029715256,0.43495439523165297
Uganda,4.189,4.6852404620584505,11.846275055107434
Uganda,4.161,4.593435953751408,10.392596821711331
Ukraine,4.332,5.336552137863884,23.18910752225033
Ukraine,4.103,5.198635807022987,26.703285572093293
United Arab Emirates,6.825,6.324384518972781,7.335025363036173
United Arab Emirates,6.774,5.398719260855476,20.30234335908657
United Kingdom,7.054,6.691171412531668,5.143586439868615
United Kingdom,7.19,6.163580178886537,14.275658151786692
United States,6.892,6.312049267868696,8.414839409914453
United States,6.886,6.366561318232856,7.543402291129017
Uruguay,6.293,6.2441785404959145,0.7758058081056042
Uruguay,6.379,6.213464878033919,2.5950011281718295
Uzbekistan,6.174,6.3041581147222585,2.108165123457372
Uzbekistan,6.096,6.324828654609355,3.7537508958227557
Venezuela,4.707,5.4852258406634755,16.5333724381448
Venezuela,4.806,5.374744002999054,11.834040844757679
Vietnam,5.175,5.823948136974677,12.540060617868152
Vietnam,5.103,5.776979084917724,13.207507053061427
Yemen,3.38,4.533500529499907,34.12723460058898
Yemen,3.355,4.45100150206218,32.667704979498666
Zambia,4.107,4.875669680816421,18.716086701154637
Zambia,4.377,4.778467618721177,9.172209703476756
Zimbabwe,3.663,4.745802632980468,29.560541440908235
Zimbabwe,3.692,4.57352482617893,23.87662042738162
